Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
imagenetsketch,vgg19,0.17936373818553378,0.39902216580555805,0.27170488345274796,2.7349436602822332,0.0010000000788436452,0.00026772373037950377,21.967813444096347,565.8773180555954,1.1385585420246098,0.1323129410210623,0.0413478427431005,0.9385845487124007,-0.5057449265862122,0.2767887132273805
imagenet-r,resnet50,0.9459,0.7233959481087622,0.19027778888735225,1.923232546853274,0.0010000000299420207,0.0005468217536783414,30.28138362927437,937.781423617363,0.29038486137706787,0.1516572821488604,0.10665467403421815,1.4284223962770308,0.13958812317848204,0.7012279968882581
imagenet-r,resnet18,0.8815,0.8940624657152004,0.1943462736017372,0.43494567428235786,0.0010000000663567335,0.0008302393899952222,30.003627637672423,919.5702853797912,0.294242727534557,0.19416653261631728,0.16003134583970968,1.3753890605843626,0.06166091536283493,0.8441968910643216
imagenet-r,resnet34,0.903,0.9217672842792993,0.17001092180084387,0.3302103971926641,0.0010000000707805156,0.0008696566626087588,30.415666980266572,939.0572365684509,0.22826100539176886,0.19596132459267973,0.16915973183187744,1.4065564412480687,0.10835278717279434,0.8837134926950947
imagenet-r,resnet101,0.9288,0.9458137589866339,0.1426547661754136,0.22412228483339422,0.001000000074750278,0.0009093320807460259,30.804752659606933,957.4271782623291,0.15980617704328498,0.1975498623006046,0.17841305061677704,1.4340308636792005,0.14784178333282472,0.9173988088665626
imagenet-r,resnet152,0.9323,0.9506965533921192,0.1398661413698567,0.206991655723825,0.0010000000745174476,0.0009164062318450305,30.834504436969755,959.0096852424622,0.1474627857299406,0.19769731222242118,0.180106282493037,1.4366647773387375,0.15424277433156966,0.9256823901326067
imagenet-r,vgg16,0.8937,0.9129410346493472,0.17916887876746818,0.36252972928200217,0.001000000054994598,0.0008541772632557695,30.228182702827453,930.0640160377502,0.2551941016935323,0.19556750168353318,0.16544480656038504,1.390183008847409,0.08601661797761917,0.87048181768882
imagenet-r,vgg19,0.8967,0.9156428641600665,0.1772794916522673,0.3500720053674553,0.0010000000555301085,0.0008596513060301731,30.261227018547057,931.8330234985351,0.24537464796618452,0.1956126163866371,0.16677387661674076,1.3932763326726854,0.09175445947647094,0.8733572840471633
imagenetsketch,alexnet,0.10718987640250732,0.33538577401321845,0.22472928817909743,2.9566615462247623,0.0010000000669690124,0.0001980107765181915,20.650933912734505,509.92941671780994,1.2452985029951789,0.12321001202983206,0.027328784363897175,0.8853194556294013,-0.5629828531385904,0.21305367444654966
imagenet-r,alexnet,0.7691,0.7973052137951518,0.25550042955052654,0.8117362312153416,0.001000000055518467,0.0006960154937893094,28.41025324730873,845.7587210540771,0.5176981650282216,0.18665882598645986,0.1294868015628721,1.2706079068870981,-0.0796087356209755,0.7148473091722269
imagenet-r,resnext,0.953,0.73641162160784,0.17793309862739873,1.835883372199838,0.0010000000323983841,0.0005708215866144656,30.538280531406404,949.5275255553483,0.23648672591466458,0.1536885955972597,0.11198839085137492,1.4424555299715605,0.15949747450351714,0.7180837494253315
imagenet-r,googlenet,0.8863,0.8452130869698039,0.23540809269888563,0.8148859358957856,0.001000000034784898,0.0007549182107966317,29.648517896175385,904.9600429449082,0.3663575772850977,0.18419596874900163,0.14516023175264126,1.3656774427944562,0.050560297763347625,0.7968129881250342
imagenet-a,resnet50,0.9465,0.7105323868359439,0.2091454745938497,1.9228757649573498,0.001000000033818651,0.00055192579557106,30.30966167304516,939.434351630354,0.28170204556303796,0.15093750540548936,0.10806255755323882,1.433174537663092,0.152525396668911,0.6870707900451122
imagenet-a,resnet18,0.8739,0.8754594125613571,0.21687250161792043,0.4688222058661604,0.0010000000598025507,0.0008272924785178475,29.95467472524643,918.1795096855163,0.2944630759224851,0.1926731027945876,0.15989376035433597,1.3800158168054883,0.07477697497606277,0.8243994355716346
imagenet-a,resnet34,0.8995,0.9040922402374446,0.1923572227415961,0.35912859518767304,0.0010000000658095813,0.0008656084615269719,30.348403018379212,936.4881446800232,0.23025009251794473,0.19475771148614585,0.16863401290077018,1.4077136077645234,0.11260058767795562,0.8621400750246113
imagenet-a,resnet101,0.928,0.9366428828552366,0.15722455724113513,0.23696621967344572,0.00100000006823102,0.0009097666017809388,30.799230578899383,957.7016073699951,0.15595638488442065,0.19684500659555196,0.17881462139859505,1.437962566692289,0.15807594290971755,0.9069991581145405
imagenet-a,resnet152,0.9331,0.9422279282927513,0.15087622102205722,0.21264634828921009,0.0010000000706058927,0.0009180528407650854,30.85263322792053,960.1338245819092,0.1422760459141816,0.1972593468092382,0.18070307157891802,1.4411570471193875,0.16303290680646895,0.9143184121498711
imagenet-a,vgg16,0.8856,0.8918704638324678,0.20452845410549375,0.39434910258618294,0.0010000000520260072,0.000850458419280767,30.14048090143204,926.5554334838868,0.25760151517622626,0.19423398884050547,0.16504584630902244,1.3897067449871219,0.08768257853984833,0.8445723821721509
imagenet-a,vgg19,0.8904,0.8962767132584005,0.20134804536877593,0.37885309790363736,0.0010000000506057403,0.0008564781394741658,30.20655071001053,929.6237067909241,0.2466748343774852,0.19444814671836794,0.16646853411940246,1.3944370910517405,0.09248304435014724,0.850996731272752
imagenet-a,alexnet,0.7614,0.7641971237599849,0.27790577748416423,0.885805427682779,0.001000000050093513,0.0006846146251116807,28.255827646255494,840.2556563926697,0.5277396062657512,0.18363943009115755,0.12778799267540336,1.2736106958899647,-0.0692335751414299,0.6822752382420761
imagenetsketch,resnext,0.3256174962174058,0.2681522769282502,0.18195650913131808,4.825314106803578,0.001000000032825154,0.00011575293647245718,23.943442993381815,650.4834580685019,1.0204622964198282,0.08133776862584859,0.019010117958984732,1.0415125275116126,-0.37912429775623624,0.20118814893935263
imagenetsketch,wide_resnet,0.3323966909669686,0.4481272927747888,0.25222215140931664,3.3675035471016845,0.0010000000319604632,0.00028428800634930807,25.459519779681457,711.977433289972,0.8866900370101856,0.12538347012436923,0.0493796076066236,1.091323367200093,-0.32580908404398984,0.3541541686750298
imagenetsketch,densenet121,0.24247902379595607,0.444259306746566,0.2841986534769078,2.5394198997499697,0.0010000000749731234,0.0003122024759443243,23.098346047565304,612.496622961083,1.0627095364884687,0.13937683137342818,0.05031563777603718,0.9884499997226907,-0.4464808575274193,0.3225223270160214
imagenetsketch,googlenet,0.2305515710046963,0.295991506443887,0.25248018275918516,3.929298336434946,0.0010000000323173196,0.00017239203688742467,20.631833774084818,517.1804097310091,1.2006390915227811,0.09929444907142972,0.027055907217769903,0.914871626305491,-0.5267859405028401,0.20473442980903223
imagenetsketch,mobilenet,0.19962272307480694,0.124374457901292,0.140493337641697,5.621583280170976,0.0010000000303980717,4.194939877971013e-05,16.735300771903052,378.5668110615197,1.35698996457455,0.04776156643976783,0.006045505468034535,0.8339386988643273,-0.6126110068621416,0.07743950109798833
imagenet-r,wide_resnet,0.9525,0.8929053245959153,0.17200230081626305,0.7835028145148535,0.0010000000328756868,0.0008141097059886761,30.80182270463705,960.5928767618894,0.1471316779165296,0.1825226059528999,0.16092922248329045,1.451814692720771,0.17384496245384215,0.8763962997631292
imagenet-r,densenet121,0.9123,0.9220688857605984,0.1678375559257363,0.32588579220300606,0.0010000000697327777,0.0008719891012384323,30.483771357631685,942.2907837631226,0.22441173974733802,0.19602928748503326,0.169715001352306,1.4112349659501575,0.11582689040899277,0.8838487359351933
imagenet-r,mobilenet,0.8957,0.6520749556749713,0.25746583788304506,2.1549386939507444,0.0010000000311527401,0.0004749524570571339,28.69197409455776,865.7172855664253,0.5528872052555205,0.14612695173444226,0.08977936316750965,1.3350676652604248,0.009840330076217652,0.6053104240295012
imagenet-a,resnext,0.9596,0.7331719991338439,0.19348936452710053,1.8274548089230667,0.00100000003259629,0.0005775174489556776,30.57184171293974,951.5519539672613,0.22276863606557268,0.15328915803735144,0.11370018516894238,1.4512468890973482,0.17608098217248916,0.7149188271320616
imagenet-a,wide_resnet,0.9554,0.882905383719597,0.18436078391742133,0.793200681801478,0.0010000000330386684,0.0008164588871939941,30.8515297342062,963.2897756621361,0.13789913346499233,0.18174003395754845,0.16177257663185382,1.458177967950888,0.18704346815347672,0.8669801155295667
imagenet-a,densenet121,0.9078,0.9091928209237754,0.18559455079380385,0.3455284407980274,0.0010000000690226444,0.0008714952783600893,30.452282026672364,941.3398975120544,0.22100514869168028,0.19503489581868053,0.17000287681869958,1.4128935339200543,0.12113346683979034,0.8694041286032121
imagenet-a,googlenet,0.8747,0.820720440294966,0.25700707585603744,0.856904262459355,0.0010000000330619514,0.0007512956773172845,29.54568604078293,901.0408621730804,0.36542584979089354,0.18220635901447385,0.14500971650921018,1.362649531311111,0.05403959782123566,0.7702638307987523
imagenet-a,mobilenet,0.8927,0.6275190000172705,0.27744221279200326,2.182112306642294,0.0010000000312225894,0.0004782418257142126,28.569031886911393,862.5519574813843,0.5403584312265942,0.14371194066405296,0.09120307013526475,1.3436048394821438,0.027244374299049377,0.5820944082596039
imagenet,resnet50,0.80856,0.39680512098979204,0.1766043349229566,4.378024011884778,0.0010000000318000093,0.00019540043649472183,28.46491827612877,848.5283491407776,0.5992963069573977,0.09679791574843227,0.03609267458977938,1.275563239864087,-0.0824920258140564,0.3469176264167491
imagenet,resnet18,0.69758,0.7201774695518985,0.28015624648246124,1.0839474918155911,0.0010000001814146526,0.0006278685515514963,27.623414300584795,809.1595476230622,0.6164130811881056,0.18090946494948118,0.11456134124424601,1.2096943350563558,-0.1668119432401657,0.6144881693193639
imagenet,resnet34,0.73314,0.7678037980119139,0.2599382795888709,0.8741677453390085,0.0010000002097245305,0.0006854309872294152,28.392337888784407,843.342880204773,0.5269697560314993,0.18628105371497572,0.1269793848602837,1.254540180627008,-0.11215729789018632,0.6693937968304808
imagenet,resnet101,0.77374,0.8226801184078493,0.23363925153756177,0.6360291232691752,0.0010000002239434979,0.0007563447936041711,29.17342347205162,878.9842532546616,0.41473100331065454,0.19147275273237377,0.14266710541042224,1.301357757153943,-0.04771842122554779,0.7365813506567165
imagenet,resnet152,0.78312,0.8331403292528726,0.22722494743112923,0.5930381859783753,0.0010000002313405275,0.0007696190818601917,29.32115975713253,886.0009797459412,0.3942347113064493,0.1923637337287143,0.1456262229038747,1.3127548127179325,-0.03284055277824402,0.7499418075726803
imagenet,vgg16,0.71592,0.7398187017942592,0.2762127706818654,0.9786985890043306,0.001000000141132623,0.0006539129807233349,27.854527863602637,819.4996511626052,0.5785152885075233,0.1833402334946394,0.12011980616051371,1.223743021727273,-0.14938835739850997,0.636809186255721
imagenet,vgg19,0.72376,0.7472268920699693,0.2738814243805326,0.9482161725221996,0.001000000142797362,0.0006633169415024554,27.96492443198204,824.4546044297409,0.5624119262897355,0.18400560356751083,0.12220880377525187,1.2285455882036667,-0.14280689063072205,0.6454065094358535
imagenet,alexnet,0.56522,0.5830045132459142,0.30920539647565715,1.7241746942898803,0.0010000001353118568,0.0004693931572704059,25.233429437975882,705.8550423661042,0.8519464552287281,0.1620803104718402,0.08164741927032386,1.0937434517242166,-0.30816488218069077,0.4668536961975514
imagenet,resnext,0.8283,0.4287520837162435,0.16687420538742165,4.251528580505139,0.0010000000320980326,0.00021784401485818534,29.337646515626908,887.5040128279877,0.48235681275530196,0.10049526555489749,0.040906028678897616,1.3229791382248397,-0.019410976014137268,0.38403566338385964
imagenet,wide_resnet,0.82514,0.70008131370835,0.1896040144320515,2.1590473239570978,0.001000000031106174,0.0005380558280710102,29.83037538101196,909.9107213842774,0.35706400459606247,0.15738946578960866,0.10299200291379362,1.350737583631831,0.02006824231147766,0.6423405994041251
imagenet,densenet121,0.74434,0.7672847224698961,0.2588404887555742,0.8825882113501212,0.001000000211589504,0.0006837368599946786,28.41461542503357,844.4648361699295,0.5296666943957826,0.18616136518022044,0.12661754315216128,1.2562669028738507,-0.10828757228851318,0.6694786012329798
imagenet,googlenet,0.69778,0.6351552291972563,0.2976528016101218,1.8291291797468234,0.0010000000397930853,0.0005182003958934411,26.931981737041472,779.6531254825592,0.7128901934409972,0.16305731258125974,0.09381742299916573,1.1811550010792973,-0.206316950674057,0.5343122579745133
imagenet,mobilenet,0.72156,0.3486093965431116,0.24405034915922535,4.325279622250823,0.0010000000314903446,0.0001912857970274672,25.124107955584527,706.4937951942825,0.9215999282685632,0.09508155645968393,0.03387639227039518,1.1240095658100313,-0.2727425123167038,0.2845521558237687
imagenetv2-matched-frequency-format-val,resnet50,0.6987,0.35227003272622825,0.17973522842343734,4.5662545304814355,0.0010000000318163074,0.0001642112255795496,27.1194602560997,788.874483984375,0.7357238154765858,0.09115987975280732,0.029536034137493745,1.2027967296494484,-0.17887423170804978,0.2963434495269046
imagenetv2-matched-frequency-format-val,resnet18,0.5729,0.6392724982626736,0.29660908453824447,1.4412573652326934,0.0010000001581269317,0.0005315605130757376,26.288748311185838,749.2566155448914,0.7650704933691566,0.17175897556990385,0.09387067705304421,1.1264517150436615,-0.2699178315758705,0.5204976310312193
imagenetv2-matched-frequency-format-val,resnet34,0.6101,0.6902199965365231,0.28588977503447394,1.2077496841502473,0.0010000001796055585,0.0005911425205233172,27.12904489264488,786.3525907798767,0.6751803710844563,0.17824822174161672,0.10644845657868308,1.1744542210880402,-0.21124291750192642,0.5772364975789542
imagenetv2-matched-frequency-format-val,resnet101,0.6554,0.7586905958890915,0.26352272344443467,0.9028916441501491,0.001000000205996912,0.0006747103748106383,28.222406225299835,835.3345742210388,0.5453890347209832,0.1857907546054572,0.12448511744751731,1.2420625030019903,-0.12612993965148925,0.6567636267654403
imagenetv2-matched-frequency-format-val,resnet152,0.6698,0.7657058679401875,0.2616330813390789,0.8676911596499898,0.0010000002081389538,0.0006842969234818156,28.295330252313615,838.5009890716552,0.530968486648565,0.18661598348990083,0.12655531554856178,1.2438245250767423,-0.12469201518297196,0.6645303927797723
imagenetv2-matched-frequency-format-val,vgg16,0.5881,0.6553158183515072,0.2977544922474128,1.3491913695010536,0.0010000001353560946,0.000552680995989158,26.459084646606446,757.0950812152862,0.7357682431315402,0.17387775252722204,0.0983104163969555,1.1425205005174823,-0.2527107903957367,0.5386441052651706
imagenetv2-matched-frequency-format-val,vgg19,0.597,0.6644106438316405,0.2960705529935691,1.3143958586691518,0.001000000133609865,0.000563120636814483,26.646834693717956,765.3235795284271,0.7182095529963511,0.17478049243763089,0.10060876285947688,1.1551280511044868,-0.23889493416547775,0.5493460233507187
